name;shelflife;alwaysAvailable;created;expiry
penne;-1;1;1672061755.8274949;0.0
basmati rice;-1;1;1672061830.7596176;0.0
risotto rice;-1;1;1672066467.1237;0.0
flour;-1;1;1672080528.1603699;0.0
cornflour;-1;1;1672082561.4825878;0.0
sugar;-1;1;1672082561.4825878;0.0
puffed buckwheat;-1;1;1672082561.4825878;0.0
buckwheat flakes;-1;1;1672082561.4825878;0.0
rigatoni;-1;1;1672082561.4825878;0.0
buckwheat tagliatelle;-1;1;1672082561.4825878;0.0
polenta;-1;1;1672082561.4825878;0.0
urad dal;-1;1;1672082561.4825878;0.0
black pepper;-1;1;1672082561.4825878;0.0
black mustard seeds;-1;1;1672082561.4825878;0.0
pau bhaji;-1;1;1672082561.4825878;0.0
ground cumin;-1;1;1672082561.4825878;0.0
nutmeg;-1;1;1672082561.4825878;0.0
deggi mirch;-1;1;1672082561.4825878;0.0
dried basil;-1;1;1672082561.4825878;0.0
curry leaves;-1;1;1672082561.4825878;0.0
olive oil;-1;1;1672082561.4825878;0.0
vegetable oil;-1;1;1672082561.4825878;0.0
stock cubes;-1;1;1672082561.4825878;0.0
white pepper;-1;1;1672082561.4825878;0.0
harissa;-1;1;1672082561.4825878;0.0
curry powder;-1;1;1672082561.4825878;0.0
dried thyme;-1;1;1672082561.4825878;0.0
ground coriander;-1;1;1672082561.4825878;0.0
chilli peppers;-1;1;1672082561.4825878;0.0
turmeric;-1;1;1672082561.4825878;0.0
rosemary;-1;1;1672082561.4825878;0.0
sesame seeds;-1;1;1672082561.4825878;0.0
garam masala;-1;1;1672082561.4825878;0.0
paprika;-1;1;1672082561.4825878;0.0
coriander seeds;-1;1;1672082561.4825878;0.0
jerk seasoning;-1;1;1672082561.4825878;0.0
cumin seeds;-1;1;1672082561.4825878;0.0
pine nuts;-1;1;1672082561.4825878;0.0
milk;-1;1;1672082561.4825878;0.0
butter;-1;1;1672082561.4825878;0.0
