name;shelflife;alwaysAvailable;created;expiry
penne;-1;1;1672061755.8274949;0.0
basmati rice;-1;1;1672061830.7596176;0.0
black pepper;-1;1;1672082561.4825878;0.0
black mustard seeds;-1;1;1672082561.4825878;0.0
pau bhaji;-1;1;1672082561.4825878;0.0
ground cumin;-1;1;1672082561.4825878;0.0
dried basil;-1;1;1672082561.4825878;0.0
olive oil;-1;1;1672082561.4825878;0.0
vegetable oil;-1;1;1672082561.4825878;0.0
stock cubes;-1;1;1672082561.4825878;0.0
chilli peppers;-1;1;1672082561.4825878;0.0
turmeric;-1;1;1672082561.4825878;0.0
rosemary;-1;1;1672082561.4825878;0.0
sesame seeds;-1;1;1672082561.4825878;0.0
garam masala;-1;1;1672082561.4825878;0.0
paprika;-1;1;1672082561.4825878;0.0
pine nuts;-1;1;1672082561.4825878;0.0
milk;-1;1;1672082561.4825878;0.0
butter;-1;1;1672082561.4825878;0.0
